"headline";"subheadline";"author";"content";"newspaper";"date";"combined_text";"agreed_topic";"agreed_topic_prob";"agreed_topic_label"
"Movimientos en telecomunicaciones destacan aumento de líneas móviles";"";"";"Telecomunicaciones (Osipet. La mayor cantidad de captación de nuevas líneas tuvo la operadora Entel Perú, con 64,412 portaciones, seguida de Claro (28,970) y Movistar (25,357). En tanto que Bitel se halló última con 2,388 líneas captadas.";"correo";"2014/12/09";"Movimientos en telecomunicaciones destacan aumento de líneas móviles. . Telecomunicaciones (Osipet. La mayor cantidad de captación de nuevas líneas tuvo la operadora Entel Perú, con 64,412 portaciones, seguida de Claro (28,970) y Movistar (25,357). En tanto que Bitel se halló última con 2,388 líneas captadas.";"-1";"0.381";"Unknown"
"Suicide Squad es un equipo de anti-héroes formado por villanos encarcelados que trabajan para el Gobierno de EE.UU.";"";"NA";"En misiones de alto riesgo a cambio de conmutar parte de sus condenas.";"correo";"2014/12/04";"Suicide Squad es un equipo de anti-héroes formado por villanos encarcelados que trabajan para el Gobierno de EE.UU.. . En misiones de alto riesgo a cambio de conmutar parte de sus condenas.";"-1";"0.1454";"Unknown"
"";"";"";"";"correo";"2014/12/03";". .";"-1";"0.0911";"Unknown"
"Según estudio, sólo el 2% de la población accede regularmente a agua limpia, siendo necesario mejorar sistemas locales de distribución.";"";"";"";"correo";"2014/12/16";"Según estudio, sólo el 2% de la población accede regularmente a agua limpia, siendo necesario mejorar sistemas locales de distribución.. .";"-1";"0.3254";"Unknown"
"Cambio histórico en política exterior";"Obama critica el aislamiento económico";"";"Barack Obama criticó duramente el aislamiento aplicado a través del embargo económico, marcándose como ineffectivo según él. Durante días posteriores surgieron diversas especulaciones y expectativas frente a este evento significativo.";"correo";"2014/12/21";"Cambio histórico en política exterior. Obama critica el aislamiento económico. Barack Obama criticó duramente el aislamiento aplicado a través del embargo económico, marcándose como ineffectivo según él. Durante días posteriores surgieron diversas especulaciones y expectativas frente a este evento significativo.";"-1";"0.1905";"Unknown"
"Papel Decisorio de Autoridades Locales en Gestión de Residuos";"Recomendaciones Futuras Necesarias";"José Luis Nuñez Zevallos";"Es imperativo mejorar la coordinación entre municipios para garantizar servicios básicos de saneamiento y mitigar riesgos ambientales.";"correo";"2014/12/15";"Papel Decisorio de Autoridades Locales en Gestión de Residuos. Recomendaciones Futuras Necesarias. Es imperativo mejorar la coordinación entre municipios para garantizar servicios básicos de saneamiento y mitigar riesgos ambientales.";"-1";"0.2598";"Unknown"
"";"";"Juan Aquino Reyna,""Conmoción general tras el fortuito accidente. Quedó preocupado el árbitro del partido entre Sport Huánuco y Fuerza Minera, Yovani Quevedo, confirma situación estable de los jugadores y el juez asistente alcanzadas por el impacto del rayo, así como la suspensión del encuentro, «Lo único que puedo decir es que los jugadores (Contreras y Rojas) y el árbitro (Loayza) están bien. El partido ha sido suspendido, no podemos entrar en mucho detalle» añadió."" ";"";"correo";"2014/12/10";". .";"-1";"0.0912";"Unknown"
"Dominación política y financiamientos especiales";"";"Ana María Solís";"Como resultado de decisiones políticas controversiales tomadas por la entonces presidenta del Congreso, Ana María Solís, se aprobaron asignaciones financieras excepcionales para los diputados, incluyendo un bono especial navideño valorado en más de seis millones de soles.";"correo";"2014/12/28";"Dominación política y financiamientos especiales. . Como resultado de decisiones políticas controversiales tomadas por la entonces presidenta del Congreso, Ana María Solís, se aprobaron asignaciones financieras excepcionales para los diputados, incluyendo un bono especial navideño valorado en más de seis millones de soles.";"-1";"0.1184";"Unknown"
"Feria comercial suspende servicios de agua temporalmente.";"SEDAPAL informa suspensiones en distintas localidades.";" NA";" ""Durante trabajos de mantenimiento, se suspenderán servicios de agua en diversas zonas de Lima Metropolitana.""";"correo";"2014/12/09";"Feria comercial suspende servicios de agua temporalmente.. SEDAPAL informa suspensiones en distintas localidades..  ""Durante trabajos de mantenimiento, se suspenderán servicios de agua en diversas zonas de Lima Metropolitana.""";"-1";"0.2398";"Unknown"
"'José Mourinho Deseó una Feliz Navidad a los Hijos del Fútbol y del Chelsea.';,";"";"";"";"correo";"2014/12/25";"'José Mourinho Deseó una Feliz Navidad a los Hijos del Fútbol y del Chelsea.';,. .";"1";"0.6461";"equipo, es, lima, real, mejor"
"Volante William Mimbela está cerca de firmar con Universitario";"NA";"NA";"Después de rescindir contrato con el club CD Nacional de la Primera División de Portugal, el volante William Mimbela está muy cerca de llegar a un acuerdo con Universitario, equipo en el cual actuó en las divisiones menores.";"correo";"2014/12/16";"Volante William Mimbela está cerca de firmar con Universitario. Después de rescindir contrato con el club CD Nacional de la Primera División de Portugal, el volante William Mimbela está muy cerca de llegar a un acuerdo con Universitario, equipo en el cual actuó en las divisiones menores.";"1";"1.0";"equipo, es, lima, real, mejor"
"Así es la vida.";"'Quienes gozan de Autoridad,' pasaron una Navidad rodeados por los barrotes de prisión.";"Ana Lescano, Damián Retamozo";"Expresidentes regionales, exalcaldes y otros poderosos empresarios que fueron privados de su libertad en 2014 enfrentaron una difícil Navidad detrás de rejas debido a diversos delitos.";"correo";"2014/12/25";"Así es la vida.. 'Quienes gozan de Autoridad,' pasaron una Navidad rodeados por los barrotes de prisión.. Expresidentes regionales, exalcaldes y otros poderosos empresarios que fueron privados de su libertad en 2014 enfrentaron una difícil Navidad detrás de rejas debido a diversos delitos.";"-1";"0.1658";"Unknown"
"Agricultura local";"Innovadoras técnicas agrícolas destacadas.";"";"Visita sorpresiva muestra avances tecnológicos en producción rural, impactando potencialmente economías locales.""";"correo";"2014/12/04";"Agricultura local. Innovadoras técnicas agrícolas destacadas.. Visita sorpresiva muestra avances tecnológicos en producción rural, impactando potencialmente economías locales.""";"-1";"0.3157";"Unknown"
"Diferentes perspectivas después del anuncio conjunto";"";"FOTÓGRAFO: EFE";"Raúl Castro señala que seguirán múltiples diferencias. 'Reiteramos nuestra posición al dialogo respetuoso y reciproco...' Además menciona que continúa el ‘bloqueo’ estadounidense impositivo a la Isla desde 1962.";"correo";"2014/12/21";"Diferentes perspectivas después del anuncio conjunto. . Raúl Castro señala que seguirán múltiples diferencias. 'Reiteramos nuestra posición al dialogo respetuoso y reciproco...' Además menciona que continúa el ‘bloqueo’ estadounidense impositivo a la Isla desde 1962.";"-1";"0.1906";"Unknown"
"Tema del Día: Reunión controvertida entre fiscal y ministro genera preocupación";"";"Miércoles 3 de Diciembre de 2014";"Christian Salas, quien recientemente dejó el cargo de Procurador Anticorrupción, expresó su malestar hacia varias autoridades públicas después de enterarse de una reunión mantenida por el fiscal supra-provincial del caso ‘La Centralita’, Marco Huamán, con el ministro de Justicia, Daniel Figallo. En septiembre pasado, Huamán había anunciado públicamente esta reunión mediante una declaración radiofónica, explicando que respondió a consultas sobre el manejo del caso y mencionando cómo un abogado podría beneficiarse significativamente al plantear un habeas corpus dado el tratamiento percibido como débil del caso.";"correo";"2014/12/03";"Tema del Día: Reunión controvertida entre fiscal y ministro genera preocupación. . Christian Salas, quien recientemente dejó el cargo de Procurador Anticorrupción, expresó su malestar hacia varias autoridades públicas después de enterarse de una reunión mantenida por el fiscal supra-provincial del caso ‘La Centralita’, Marco Huamán, con el ministro de Justicia, Daniel Figallo. En septiembre pasado, Huamán había anunciado públicamente esta reunión mediante una declaración radiofónica, explicando que respondió a consultas sobre el manejo del caso y mencionando cómo un abogado podría beneficiarse significativamente al plantear un habeas corpus dado el tratamiento percibido como débil del caso.";"0";"1.0";"reunión, productos, investigación, lossio, economía"
"Terrorismo Global Impacta Europa";"Atentado en Café de Sidney Involucra Rehenes";"CRÓNICAS INTERNACIONALES";"Un grupo presumiblemente afiliado al ISIS tomó control de un café en Sydney, causando tensión internacional y alerta global.";"correo";"2014/12/15";"Terrorismo Global Impacta Europa. Atentado en Café de Sidney Involucra Rehenes. Un grupo presumiblemente afiliado al ISIS tomó control de un café en Sydney, causando tensión internacional y alerta global.";"-1";"0.2625";"Unknown"
"Sporting Cristal Contrató al Argentino Cesar Pereyra Es Sucesor de Chapita Blanco Reforzamiento. Sporting Cristal Se Puso Pilas y Contrató al Argentino Cesar Pereyra, de 33 años, quién Jugó en el Atlético Belgrano desde el 2009 y Tan sólo un Año (2006) Salió de Argentina para Jugar en México (Atlas). El Goleador de Los Rimenses, Irven Ávila Espera Emigrar Próximo Año y el Urugayo Sergio Blanco aún No Renovará. Otro que tampoco Continuaría en Equipo Rimense Sería Maximiliano Nuñez, Ya que Prosigua su Carrera Futbolística en País, Pereyra Se Suma a Ya Contratados Josepmir Ballón y Josué Estrada.,";"";"";"";"correo";"2014/12/25";"Sporting Cristal Contrató al Argentino Cesar Pereyra Es Sucesor de Chapita Blanco Reforzamiento. Sporting Cristal Se Puso Pilas y Contrató al Argentino Cesar Pereyra, de 33 años, quién Jugó en el Atlético Belgrano desde el 2009 y Tan sólo un Año (2006) Salió de Argentina para Jugar en México (Atlas). El Goleador de Los Rimenses, Irven Ávila Espera Emigrar Próximo Año y el Urugayo Sergio Blanco aún No Renovará. Otro que tampoco Continuaría en Equipo Rimense Sería Maximiliano Nuñez, Ya que Prosigua su Carrera Futbolística en País, Pereyra Se Suma a Ya Contratados Josepmir Ballón y Josué Estrada.,. .";"1";"1.0";"equipo, es, lima, real, mejor"
"Investigación parlamentaria";"Congresista insiste en transparencia.;;Debate continúa sobre quién dirigirá la investigación relacionada con figuras clave del gobierno anterior.""";"";"";"correo";"2014/12/04";"Investigación parlamentaria. Congresista insiste en transparencia.;;Debate continúa sobre quién dirigirá la investigación relacionada con figuras clave del gobierno anterior."".";"0";"1.0";"reunión, productos, investigación, lossio, economía"
"Fiscalización y política pública";"";"DiarioCorreo";"Informe señala pérdidas significativas por corrupción. Urgen medidas más rigurosas frente a malversación de fondos públicos.";"correo";"2014/12/04";"Fiscalización y política pública. . Informe señala pérdidas significativas por corrupción. Urgen medidas más rigurosas frente a malversación de fondos públicos.";"-1";"0.1587";"Unknown"
"";"";"";"";"correo";"2014/12/03";". .";"-1";"0.0913";"Unknown"
"Decisión de Raúl Castro y Barack Obama ya genera críticas de los disidentes de la isla y del Partido Republicano";"";"Gastón Gaviola";"Con esta frase, pronunciada en castellano, cerraba su discurso el presidente de Estados Unidos luego de anunciar la intención de restablecer relaciones diplomáticas con Cuba. Es el inicio de un camino al que le esperan varios kilómetros, pero que lleva en el derrotero cerrar uno de los últimos capítulos de la historia del siglo XX.";"correo";"2014/12/21";"Decisión de Raúl Castro y Barack Obama ya genera críticas de los disidentes de la isla y del Partido Republicano. . Con esta frase, pronunciada en castellano, cerraba su discurso el presidente de Estados Unidos luego de anunciar la intención de restablecer relaciones diplomáticas con Cuba. Es el inicio de un camino al que le esperan varios kilómetros, pero que lleva en el derrotero cerrar uno de los últimos capítulos de la historia del siglo XX.";"-1";"0.2035";"Unknown"
"Investigación Interna de Greenpeace Debido a Incidente en Nazca";"Ministra de Cultura Expresa Discrepancia";"Redacción | Correo";"Tras el incidente provocado por activistas de Greenpeace en las líneas de Nasca, la Ministra de Cultura criticó la falta de transparencia en cuanto a la provisión de datos personales de los involucrados.";"correo";"2014/12/16";"Investigación Interna de Greenpeace Debido a Incidente en Nazca. Ministra de Cultura Expresa Discrepancia. Tras el incidente provocado por activistas de Greenpeace en las líneas de Nasca, la Ministra de Cultura criticó la falta de transparencia en cuanto a la provisión de datos personales de los involucrados.";"0";"1.0";"reunión, productos, investigación, lossio, economía"
"Dilación en gestión de túneles Santa Rosa será superada";"Los túneles Santa Rosa serán finalizados en 2016 según ingenieros.";"";"Trabajos en los túneles Santa Rosa fueron retomados después de haber estado suspendidos, prevé su conclusión para fines de 2016.";"correo";"2014/12/10";"Dilación en gestión de túneles Santa Rosa será superada. Los túneles Santa Rosa serán finalizados en 2016 según ingenieros.. Trabajos en los túneles Santa Rosa fueron retomados después de haber estado suspendidos, prevé su conclusión para fines de 2016.";"-1";"0.2693";"Unknown"
"Peligro Latente Debido a Sitios Clandestinos Que Podrían Provocar Incendios Graves.";"";"";"";"correo";"2014/12/16";"Peligro Latente Debido a Sitios Clandestinos Que Podrían Provocar Incendios Graves.. .";"-1";"0.2374";"Unknown"
"Sendero en vitrina";"";"DiarioCorreo";"Obra de Elena Iparraguirre y Maritza Garrido Lecca’se exponen en muestra seudórtistica.";"correo";"2014/12/25";"Sendero en vitrina. . Obra de Elena Iparraguirre y Maritza Garrido Lecca’se exponen en muestra seudórtistica.";"-1";"0.214";"Unknown"
"Mourinho Criticó a Bale. Por Otra Parte, el Estratega Portugués También Tuvo una Crítíca para Palabras del Pes Gareth Bale, del Real Madrid, Quién Afirma Que la Liga Española Nacional Mou Dijo Que en Una Ocurrencia Dirigía al Real Madrid Querió Hacerse Cargo de la Selección de Portugal Pero el Presidente Florentino Pérez No Quiso Que Realice Esas Dos Funciones. La España Mejor Que Otras. ‘Gareth Bale Dice Que la Liga BBVA es Mejor Porque está Ahí y Hay Que Aceptar Eso. Yo Estuve Allí Gané un Torneo Local y también Perdí. Sé Clara las Diferencias que Hay Entre España e Inglaterra. Allí Afloras Algunos Partidos Sabiendo Que Vas a Ganar, y Eso No es lo Mejor para una Competición. Hay Dos Equipos Remarcadamente Diferentes de Diez de Éxitos. Dos Equipos Qué están en la Cima del Mundo y, Luego, el Resto. El Atlético de Madrid es el Tercero; el año Pasado Ganó, Pero no es Normal. Desde Aquello Hay una Brecha Mucho Importante. Por Esto Da un Campeonato con 100 Puntos y 127 Goles Favorables. Eso en la Premier';,";"";"";"";"correo";"2014/12/25";"Mourinho Criticó a Bale. Por Otra Parte, el Estratega Portugués También Tuvo una Crítíca para Palabras del Pes Gareth Bale, del Real Madrid, Quién Afirma Que la Liga Española Nacional Mou Dijo Que en Una Ocurrencia Dirigía al Real Madrid Querió Hacerse Cargo de la Selección de Portugal Pero el Presidente Florentino Pérez No Quiso Que Realice Esas Dos Funciones. La España Mejor Que Otras. ‘Gareth Bale Dice Que la Liga BBVA es Mejor Porque está Ahí y Hay Que Aceptar Eso. Yo Estuve Allí Gané un Torneo Local y también Perdí. Sé Clara las Diferencias que Hay Entre España e Inglaterra. Allí Afloras Algunos Partidos Sabiendo Que Vas a Ganar, y Eso No es lo Mejor para una Competición. Hay Dos Equipos Remarcadamente Diferentes de Diez de Éxitos. Dos Equipos Qué están en la Cima del Mundo y, Luego, el Resto. El Atlético de Madrid es el Tercero; el año Pasado Ganó, Pero no es Normal. Desde Aquello Hay una Brecha Mucho Importante. Por Esto Da un Campeonato con 100 Puntos y 127 Goles Favorables. Eso en la Premier';,. .";"1";"1.0";"equipo, es, lima, real, mejor"
"Lanzamiento Libro Teresa Izquierdo";"Un homenaje maternal";"Edición 99";"Como un homenaje a su madre, Elena Santos Izquierdo, única hija de la célebre cocinera Teresa Izquierdo, presentó el libro ‘Teresa Izquierdo en Familia’, narrando la vibrante historia materna junto a sus más queridas recetas.";"correo";"2014/12/21";"Lanzamiento Libro Teresa Izquierdo. Un homenaje maternal. Como un homenaje a su madre, Elena Santos Izquierdo, única hija de la célebre cocinera Teresa Izquierdo, presentó el libro ‘Teresa Izquierdo en Familia’, narrando la vibrante historia materna junto a sus más queridas recetas.";"0";"0.6034";"reunión, productos, investigación, lossio, economía"
"Pérdidas económicas por corrupción";"";"DiarioCorreo";"Según datos gubernamentales, el país pierde miles millones cada año debido a prácticas fraudulentas dentro de la función pública.";"correo";"2014/12/04";"Pérdidas económicas por corrupción. . Según datos gubernamentales, el país pierde miles millones cada año debido a prácticas fraudulentas dentro de la función pública.";"-1";"0.1861";"Unknown"
"Autorización de Fusión Entre Empresas Locales";"Convocatoria a Asamblea General Extraordinaria de Asociados";"Presidente del Consejo Directivo";"De acuerdo con el artículo 30°, etcétera, del Estatuto del Jockey Club del Perú, se convoca a una reunión extraordinaria para discutir temas relevantes incluidos en la agenda.";"correo";"2014/12/16";"Autorización de Fusión Entre Empresas Locales. Convocatoria a Asamblea General Extraordinaria de Asociados. De acuerdo con el artículo 30°, etcétera, del Estatuto del Jockey Club del Perú, se convoca a una reunión extraordinaria para discutir temas relevantes incluidos en la agenda.";"-1";"0.2474";"Unknown"
"Distribuciones Agencias entrenador Portugués del Chelsea, José Mourinho, Sostuvo Que el Cuadro Inglés No Tiene Opción Ninguna de Firmar al No Lionel Messi del Barça Debido al Fair Play Financiero.; 'El Chelsea No Se Lo Puede Permitir. No Tenemos Ninguna Opción de Firmar Jugadores Como Lionel Messi. Está Vigente el Fair Play Financiero, Que Nos Obliga a Seguir Determinadas Reglas y Cumplir con Dos Números. Es Impensable. No Hay Condición para Comprar a un Jugador Fantástico a un Precio Fantástico', Dijo en Una Entrevista.";"";"";"";"correo";"2014/12/25";"Distribuciones Agencias entrenador Portugués del Chelsea, José Mourinho, Sostuvo Que el Cuadro Inglés No Tiene Opción Ninguna de Firmar al No Lionel Messi del Barça Debido al Fair Play Financiero.; 'El Chelsea No Se Lo Puede Permitir. No Tenemos Ninguna Opción de Firmar Jugadores Como Lionel Messi. Está Vigente el Fair Play Financiero, Que Nos Obliga a Seguir Determinadas Reglas y Cumplir con Dos Números. Es Impensable. No Hay Condición para Comprar a un Jugador Fantástico a un Precio Fantástico', Dijo en Una Entrevista.. .";"1";"1.0";"equipo, es, lima, real, mejor"
"Caso Belaunde Lossio";"Primera Dama critica uso indebido de nombres.";"";"Nadine Heredia insta a Belaunde Lossio a someterse a la justicia. Revela posible aprovechamiento indebido de identidades políticas.";"correo";"2014/12/04";"Caso Belaunde Lossio. Primera Dama critica uso indebido de nombres.. Nadine Heredia insta a Belaunde Lossio a someterse a la justicia. Revela posible aprovechamiento indebido de identidades políticas.";"0";"1.0";"reunión, productos, investigación, lossio, economía"
"Cambio en normas aduaneras simplifica ingreso de productos a mercados extranjeros";"Seguimiento de envíos en portal Sunat";"";"Se facilitó el procedimiento para ingresar productos a mercados externos gracias a nuevas normas aduaneras.";"correo";"2014/12/10";"Cambio en normas aduaneras simplifica ingreso de productos a mercados extranjeros. Seguimiento de envíos en portal Sunat. Se facilitó el procedimiento para ingresar productos a mercados externos gracias a nuevas normas aduaneras.";"-1";"0.263";"Unknown"
"Hija víctima de la delincuencia hace veintitantos días en Miraflores.";"";" ";"Hace veinte días en Miraflores, cinco hampones que viajaban en dos automóviles asaltaron a una mujer mientras caminaba hacia su apartamento. Les robaron pertenencias valiosas y le fracturaron el brazo, requiriéndole cirugía y prótesis.";"correo";"2014/12/03";"Hija víctima de la delincuencia hace veintitantos días en Miraflores.. . Hace veinte días en Miraflores, cinco hampones que viajaban en dos automóviles asaltaron a una mujer mientras caminaba hacia su apartamento. Les robaron pertenencias valiosas y le fracturaron el brazo, requiriéndole cirugía y prótesis.";"-1";"0.0961";"Unknown"
"Ingreso Irregular de Mercancías Explosivas Preocupación en Mesa Redonda";"";"Joaquín de Quesada Grupo Epensa.pe";"";"correo";"2014/12/16";"Ingreso Irregular de Mercancías Explosivas Preocupación en Mesa Redonda. .";"-1";"0.2077";"Unknown"
"Economía creció 2.37%; Sector Minería Mostró Mejoras";"Resultado Menor al de Setiembre";"AA.;";"Octubre no fue mejor que septiembre para la economía peruana, que creció 2.37% en el décimo mes del año, según información divulgada por el Instituto Nacional de Estadística e Informática (INEI).";"correo";"2014/12/16";"Economía creció 2.37%; Sector Minería Mostró Mejoras. Resultado Menor al de Setiembre. Octubre no fue mejor que septiembre para la economía peruana, que creció 2.37% en el décimo mes del año, según información divulgada por el Instituto Nacional de Estadística e Informática (INEI).";"-1";"0.2771";"Unknown"
"SUNAT realizará remates por más de $7.5 millones.";"Con el objetivo de recuperar deudas tributarias.";" NA";" ""Sunat remata bienes muebles e inmuebles embargados por un valor de S/75 millones el próximo sábado 13.""";"correo";"2014/12/09";"SUNAT realizará remates por más de $7.5 millones.. Con el objetivo de recuperar deudas tributarias..  ""Sunat remata bienes muebles e inmuebles embargados por un valor de S/75 millones el próximo sábado 13.""";"-1";"0.2831";"Unknown"
"Búsqueda Exitosa de Smartphone ZTE Kiss";"Promoción vigente hasta el 17 de diciembre";"";"Para obtener detalles sobre cómo aprovechar estas oportunidades, visita nuestro portal oficial.";"correo";"2014/12/15";"Búsqueda Exitosa de Smartphone ZTE Kiss. Promoción vigente hasta el 17 de diciembre. Para obtener detalles sobre cómo aprovechar estas oportunidades, visita nuestro portal oficial.";"-1";"0.4493";"Unknown"
"FORTALECE FUERZA POPULAR SU PODER REGIONAL TRAS RECIENTES RESULTADOS ELECTORALES";"";"Waldir Quispe García";"Tras conocerse los resultados definitivos proporcionados por ONPE, Fuerza Popular consolidó su posición ganando elecciones regionales clave en Pasco, Ica y San Martín. Analistas sugieren esto fortalece su potencial para futuros eventos electorales.";"correo";"2014/12/10";"FORTALECE FUERZA POPULAR SU PODER REGIONAL TRAS RECIENTES RESULTADOS ELECTORALES. . Tras conocerse los resultados definitivos proporcionados por ONPE, Fuerza Popular consolidó su posición ganando elecciones regionales clave en Pasco, Ica y San Martín. Analistas sugieren esto fortalece su potencial para futuros eventos electorales.";"-1";"0.2782";"Unknown"
"Auditorías internacionales ponen en jaque al sistema judicial peruano";"Revelaciones impactantes sacuden la credibilidad pública";"";"Pedro Angulo, antiguo fiscal superior, argumenta que la naturaleza misma de la reunión entre un fiscal específico y un alto funcionario gubernamental contradice principios fundamentales de autonomía judicial. Las circunstancias rodeando esta reunión intensifican las sospechas de interferencia política en procesos legítimos de investigación, exacerbando aún más la crisis de confianza en las instituciones judiciales.";"correo";"2014/12/03";"Auditorías internacionales ponen en jaque al sistema judicial peruano. Revelaciones impactantes sacuden la credibilidad pública. Pedro Angulo, antiguo fiscal superior, argumenta que la naturaleza misma de la reunión entre un fiscal específico y un alto funcionario gubernamental contradice principios fundamentales de autonomía judicial. Las circunstancias rodeando esta reunión intensifican las sospechas de interferencia política en procesos legítimos de investigación, exacerbando aún más la crisis de confianza en las instituciones judiciales.";"0";"1.0";"reunión, productos, investigación, lossio, economía"
"Casi 10% de Personal CTM Niegan Despidos Masivos";"EMPRESA DENUNCIA DESPIDOS MASIVOS.; Empleo""";" ""Mediante un comunicado, el Ministerio de Trabajo y Promoción del Empleo (MTPE) negó realizar algún despido masivo de sus trabajadores, aunque afirmó que los ceses correspondieron a una renovación de contratos que comprometen a no más del diez por ciento de sus empleados bajo modalidad de Contratos Administrativos de Servicios (CAS).""";"";"correo";"2014/12/25";"Casi 10% de Personal CTM Niegan Despidos Masivos. EMPRESA DENUNCIA DESPIDOS MASIVOS.; Empleo"".";"-1";"0.1705";"Unknown"
"Neymar Sueña Con Final de Champins";"Barcelona aplasta al Córdoba";"Redacción|Correo";"El astropéruano Neymar expresó sentirse privilegiado por compartir vestuario con Lionel Messi, a quién considera el mejor del mundo.";"correo";"2014/12/21";"Neymar Sueña Con Final de Champins. Barcelona aplasta al Córdoba. El astropéruano Neymar expresó sentirse privilegiado por compartir vestuario con Lionel Messi, a quién considera el mejor del mundo.";"1";"0.8221";"equipo, es, lima, real, mejor"
"En juicio abierto, Eva Bracamonte Feffer refutó cargos relacionados con el homicidio de su madre, atribuyendo acciones a su hermano Ariel.";"";"";"";"correo";"2014/12/16";"En juicio abierto, Eva Bracamonte Feffer refutó cargos relacionados con el homicidio de su madre, atribuyendo acciones a su hermano Ariel.. .";"-1";"0.1534";"Unknown"
"Suspensión del Servicio de Agua en el Distrito de San Isidro";"Martes 16 de Diciembre de 2014";"Redacción | Correo";"SEDAPAL informó que, dando cumplimiento a la normativa vigente, se suspendió el servicio en determinadas áreas desde jueves 18 hasta miércoles 23 de diciembre.";"correo";"2014/12/16";"Suspensión del Servicio de Agua en el Distrito de San Isidro. Martes 16 de Diciembre de 2014. SEDAPAL informó que, dando cumplimiento a la normativa vigente, se suspendió el servicio en determinadas áreas desde jueves 18 hasta miércoles 23 de diciembre.";"-1";"0.2629";"Unknown"
"Negativa. Mininter pone luz roja a definición del Clausura en Lima y Trujillo";"NA";"NA";"Ide que resultó crucial partido Urresti prefirió abocarse a resguardo de COP20. En tanto, titulares de la ADFP y FPF, se encuentran en Paraguay.";"correo";"2014/12/03";"Negativa. Mininter pone luz roja a definición del Clausura en Lima y Trujillo. Ide que resultó crucial partido Urresti prefirió abocarse a resguardo de COP20. En tanto, titulares de la ADFP y FPF, se encuentran en Paraguay.";"1";"0.4644";"equipo, es, lima, real, mejor"
"PRESIDENTE HUMALA COMENTA SOBRE IMPORTANCIA DEL EJÉRCITO";"";"";"Durante el Día del Ejército, Presidente Ollanta Humala destacó la importancia de mantener la independencia política dentro de las fuerzas militares, calificándolo como ‘lo más sagrado’.";"correo";"2014/12/10";"PRESIDENTE HUMALA COMENTA SOBRE IMPORTANCIA DEL EJÉRCITO. . Durante el Día del Ejército, Presidente Ollanta Humala destacó la importancia de mantener la independencia política dentro de las fuerzas militares, calificándolo como ‘lo más sagrado’.";"0";"0.3581";"reunión, productos, investigación, lossio, economía"
"Detienen 361 prácticas engañosas.";"Alerta emitida por Indecopi.";" NA";" ""Este año, el Indecopi realizó 361 investigaciones relacionadas con publicidad engañosa en varios sectores.""";"correo";"2014/12/09";"Detienen 361 prácticas engañosas.. Alerta emitida por Indecopi..  ""Este año, el Indecopi realizó 361 investigaciones relacionadas con publicidad engañosa en varios sectores.""";"-1";"0.1828";"Unknown"
"Eva Niega Acusaciones en Audiencia Juicio por Crimen de Myriam Feffer";"";"Mari Lisbeth Núñez Mairena Grupo Epensa.pe";"";"correo";"2014/12/16";"Eva Niega Acusaciones en Audiencia Juicio por Crimen de Myriam Feffer. .";"-1";"0.1608";"Unknown"
"Critican reunión secreta entre fiscal y ministro";"Abogado advierte sobre influencias indebidas";"";"Ronald Gamarra, exprocurador anticorrupción, criticó duramente la reunión entre Huamán, Quiroz y Figallo, describiéndola como inadmisible. Sugiere que cualquier responsabilidad caería principalmente sobre Figallo, quien invitó a la reunión, más que sobre Huamán. Destaca además que tales actividades pueden interpretarse políticamente incorrectas y señalan manipulaciones detrás de la investigación.";"correo";"2014/12/03";"Critican reunión secreta entre fiscal y ministro. Abogado advierte sobre influencias indebidas. Ronald Gamarra, exprocurador anticorrupción, criticó duramente la reunión entre Huamán, Quiroz y Figallo, describiéndola como inadmisible. Sugiere que cualquier responsabilidad caería principalmente sobre Figallo, quien invitó a la reunión, más que sobre Huamán. Destaca además que tales actividades pueden interpretarse políticamente incorrectas y señalan manipulaciones detrás de la investigación.";"0";"1.0";"reunión, productos, investigación, lossio, economía"
"Borrussia cae ante Werder Bremen";"Manchester United sigue en ascenso";"Redacción|Correo";"Por la jornada 17 de la Bundesliga Alemana, Borussia Dortmund perdió como visitante por 1-2 frente al Werder Bremen.";"correo";"2014/12/21";"Borrussia cae ante Werder Bremen. Manchester United sigue en ascenso. Por la jornada 17 de la Bundesliga Alemana, Borussia Dortmund perdió como visitante por 1-2 frente al Werder Bremen.";"1";"0.82";"equipo, es, lima, real, mejor"
